Cell_line,GENE,normZ,p-value,FDR,Treatment
HeLA,SLC44A3,1.1,0.865,0.991,VE821
HeLA,SLC44A4,-2.14,0.0163,0.75,VE821
HeLA,SLC44A5,1,0.842,0.992,VE821
HeLA,SLC45A1,-0.79,0.214,1.04,VE821
HeLA,SLC45A2,1.43,0.924,0.994,VE821
HeLA,SLC45A3,-0.3,0.381,1.04,VE821
HeLA,SLC45A4,-0.4,0.345,1.04,VE821
HeLA,SLC46A2,-0.94,0.173,1.03,VE821
HeLA,SLC46A3,0.36,0.641,1.01,VE821
HeLA,SLC47A1,0.4,0.655,1.01,VE821
HeLA,SLC47A2,1.26,0.896,0.991,VE821
HeLA,SLC48A1,0.25,0.6,1.02,VE821
HeLA,SLC4A1,0.77,0.781,0.997,VE821
HeLA,SLC4A10,0.22,0.587,1.02,VE821
HeLA,SLC4A11,-0.14,0.443,1.03,VE821
HeLA,SLC4A1AP,0.09,0.536,1.02,VE821
HeLA,SLC4A2,-0.22,0.415,1.04,VE821
HeLA,SLC4A3,0.03,0.513,1.02,VE821
HeLA,SLC4A4,0.46,0.677,1.01,VE821
HeLA,SLC4A5,-0.35,0.364,1.04,VE821
HeLA,SLC4A7,-0.74,0.23,1.05,VE821
HeLA,SLC4A8,-1.86,0.0313,0.843,VE821
HeLA,SLC4A9,1.2,0.885,0.991,VE821
HeLA,SLC50A1,0.55,0.709,1,VE821
HeLA,SLC51A,-0.03,0.486,1.03,VE821
HeLA,SLC51B,0.56,0.711,1,VE821
HeLA,SLC52A1,-0.2,0.422,1.04,VE821
HeLA,SLC52A2,-0.17,0.433,1.03,VE821
HeLA,SLC52A3,-1.94,0.026,0.802,VE821
HeLA,SLC5A1,-2.57,0.00513,0.628,VE821
HeLA,SLC5A10,-0.68,0.247,1.05,VE821
HeLA,SLC5A11,1,0.841,0.993,VE821
HeLA,SLC5A12,-1.16,0.123,1.01,VE821
HeLA,SLC5A2,0.77,0.78,0.997,VE821
HeLA,SLC5A3,0.14,0.556,1.02,VE821
HeLA,SLC5A4,0.81,0.791,0.997,VE821
HeLA,SLC5A5,0.05,0.519,1.02,VE821
HeLA,SLC5A6,1.59,0.944,0.996,VE821
HeLA,SLC5A7,0.53,0.702,1,VE821
HeLA,SLC5A8,-0.93,0.177,1.03,VE821
HeLA,SLC5A9,-0.22,0.413,1.04,VE821
HeLA,SLC6A1,-2.48,0.00662,0.621,VE821
HeLA,SLC6A11,0.9,0.816,0.994,VE821
HeLA,SLC6A12,0.65,0.742,0.999,VE821
HeLA,SLC6A13,-1.39,0.0825,0.973,VE821
HeLA,SLC6A14,1.19,0.882,0.991,VE821
HeLA,SLC6A15,-0.04,0.483,1.03,VE821
HeLA,SLC6A16,-0.03,0.49,1.03,VE821
HeLA,SLC6A17,-1.09,0.138,1.03,VE821
HeLA,SLC6A18,-0.87,0.192,1.04,VE821
HeLA,SLC6A19,0.41,0.658,1.01,VE821
HeLA,SLC6A2,-0.04,0.485,1.03,VE821
HeLA,SLC6A20,-0.2,0.421,1.04,VE821
HeLA,SLC6A3,0.15,0.561,1.02,VE821
HeLA,SLC6A4,-0.19,0.426,1.03,VE821
HeLA,SLC6A5,0.12,0.548,1.02,VE821
HeLA,SLC6A6,0.23,0.589,1.02,VE821
HeLA,SLC6A7,0.57,0.715,1,VE821
HeLA,SLC6A8,-0.28,0.388,1.04,VE821
HeLA,SLC6A9,1.35,0.912,0.992,VE821
HeLA,SLC7A1,-0.2,0.421,1.04,VE821
HeLA,SLC7A10,0.31,0.621,1.01,VE821
HeLA,SLC7A11,0.75,0.773,0.997,VE821
HeLA,SLC7A13,1.56,0.94,0.995,VE821
HeLA,SLC7A14,0.68,0.752,1,VE821
HeLA,SLC7A2,0.29,0.614,1.01,VE821
HeLA,SLC7A3,-1.39,0.0815,0.974,VE821
HeLA,SLC7A4,-0.36,0.359,1.04,VE821
HeLA,SLC7A5,-0.1,0.462,1.03,VE821
HeLA,SLC7A6,-0.06,0.477,1.03,VE821
HeLA,SLC7A6OS,0.09,0.535,1.02,VE821
HeLA,SLC7A7,0,0.502,1.02,VE821
HeLA,SLC7A8,0.24,0.597,1.02,VE821
HeLA,SLC7A9,-0.02,0.492,1.02,VE821
HeLA,SLC8A1,0.26,0.603,1.02,VE821
HeLA,SLC8A2,-0.86,0.196,1.03,VE821
HeLA,SLC8A3,-0.21,0.418,1.04,VE821
HeLA,SLC9A1,0.4,0.655,1.01,VE821
HeLA,SLC9A2,0.11,0.542,1.02,VE821
HeLA,SLC9A3,1,0.841,0.992,VE821
HeLA,SLC9A3R1,-0.71,0.239,1.05,VE821
HeLA,SLC9A3R2,-0.54,0.296,1.05,VE821
HeLA,SLC9A4,0.66,0.747,0.999,VE821
HeLA,SLC9A5,1.11,0.866,0.991,VE821
HeLA,SLC9A6,0.24,0.594,1.02,VE821
HeLA,SLC9A7,0.13,0.551,1.02,VE821
HeLA,SLC9A8,0.04,0.517,1.02,VE821
HeLA,SLC9A9,0.89,0.813,0.996,VE821
HeLA,SLC9B2,-1.37,0.0852,0.975,VE821
HeLA,SLC9C2,-0.29,0.385,1.04,VE821
HeLA,SLCO1A2,0.97,0.835,0.993,VE821
HeLA,SLCO1B1,1.89,0.971,0.995,VE821
HeLA,SLCO1B3,0.45,0.674,1.01,VE821
HeLA,SLCO1C1,-1.81,0.0353,0.827,VE821
HeLA,SLCO2A1,0.82,0.793,0.997,VE821
HeLA,SLCO2B1,0.32,0.627,1.01,VE821
HeLA,SLCO3A1,0.65,0.744,0.999,VE821
HeLA,SLCO4A1,0.23,0.591,1.02,VE821
HeLA,SLCO4C1,-0.51,0.306,1.05,VE821
HeLA,SLCO5A1,-0.32,0.374,1.04,VE821
HeLA,SLCO6A1,-1.59,0.0564,0.921,VE821
HeLA,SLFN11,0.52,0.699,1,VE821
HeLA,SLFN12,-0.11,0.457,1.03,VE821
