Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,NXT2,0.28,0.608,0.995,AZD6738
HCT116,NYAP1,0.73,0.768,0.984,AZD6738
HCT116,NYAP2,0.39,0.652,0.992,AZD6738
HCT116,NYNRIN,-0.35,0.365,1.03,AZD6738
HCT116,NYX,0.78,0.783,0.983,AZD6738
HCT116,OAF,-0.06,0.477,1.01,AZD6738
HCT116,OARD1,-0.25,0.403,1.02,AZD6738
HCT116,OAS1,0.34,0.633,0.99,AZD6738
HCT116,OAS2,-0.45,0.325,1.03,AZD6738
HCT116,OAS3,0.12,0.55,1,AZD6738
HCT116,OASL,0.12,0.549,1,AZD6738
HCT116,OAT,1.1,0.864,0.987,AZD6738
HCT116,OAZ1,-0.96,0.169,1.08,AZD6738
HCT116,OAZ2,-0.12,0.451,1.02,AZD6738
HCT116,OAZ3,-0.36,0.359,1.03,AZD6738
HCT116,OBFC1,0.68,0.751,0.986,AZD6738
HCT116,OBSCN,0.7,0.758,0.985,AZD6738
HCT116,OBSL1,0.71,0.76,0.985,AZD6738
HCT116,OC90,0.45,0.675,0.991,AZD6738
HCT116,OCA2,0.67,0.75,0.986,AZD6738
HCT116,OCEL1,-1.22,0.11,1.07,AZD6738
HCT116,OCIAD1,0.62,0.733,0.988,AZD6738
HCT116,OCLN,0.58,0.718,0.988,AZD6738
HCT116,OCRL,0.48,0.685,0.989,AZD6738
HCT116,OCSTAMP,0.89,0.813,0.984,AZD6738
HCT116,ODAM,-0.62,0.268,1.05,AZD6738
HCT116,ODC1,-1.92,0.0276,0.931,AZD6738
HCT116,ODF1,-1.11,0.133,1.07,AZD6738
HCT116,ODF2,0.84,0.799,0.984,AZD6738
HCT116,ODF2L,0.56,0.711,0.988,AZD6738
HCT116,ODF3,0.44,0.671,0.99,AZD6738
HCT116,ODF3B,-1.76,0.0392,0.998,AZD6738
HCT116,ODF3L1,-0.6,0.274,1.04,AZD6738
HCT116,ODF3L2,0.35,0.635,0.99,AZD6738
HCT116,ODF4,0.8,0.787,0.983,AZD6738
HCT116,OFD1,-0.07,0.47,1.01,AZD6738
HCT116,OGDH,-0.08,0.468,1.01,AZD6738
HCT116,OGDHL,1.1,0.863,0.988,AZD6738
HCT116,OGFOD2,-0.9,0.185,1.08,AZD6738
HCT116,OGFOD3,-0.21,0.416,1.02,AZD6738
HCT116,OGFR,-0.36,0.361,1.03,AZD6738
HCT116,OGFRL1,1.48,0.93,0.994,AZD6738
HCT116,OGG1,1.7,0.956,0.997,AZD6738
HCT116,OGN,-0.23,0.407,1.02,AZD6738
HCT116,OGT,0.58,0.72,0.988,AZD6738
HCT116,OIP5,0.13,0.553,1,AZD6738
HCT116,OIT3,0.66,0.746,0.987,AZD6738
HCT116,OLAH,0.04,0.515,1.01,AZD6738
HCT116,OLFM1,0,0.5,1.01,AZD6738
HCT116,OLFM2,1.84,0.967,0.998,AZD6738
HCT116,OLFM3,-0.31,0.378,1.03,AZD6738
HCT116,OLFM4,0.52,0.699,0.99,AZD6738
HCT116,OLFML1,0.02,0.507,1.01,AZD6738
HCT116,OLFML2A,0.13,0.552,1,AZD6738
HCT116,OLFML2B,-0.4,0.345,1.03,AZD6738
HCT116,OLFML3,-0.04,0.485,1.01,AZD6738
HCT116,OLIG1,-1.97,0.0244,0.907,AZD6738
HCT116,OLIG2,-0.57,0.285,1.04,AZD6738
HCT116,OLIG3,1.91,0.972,0.999,AZD6738
HCT116,OLR1,-0.33,0.371,1.03,AZD6738
HCT116,OMA1,-0.04,0.484,1.01,AZD6738
HCT116,OMG,-1.58,0.0567,1.06,AZD6738
HCT116,OMP,-0.22,0.412,1.02,AZD6738
HCT116,ONECUT1,0.88,0.811,0.984,AZD6738
HCT116,ONECUT2,-0.46,0.322,1.03,AZD6738
HCT116,ONECUT3,0.56,0.713,0.988,AZD6738
