Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1-hTER_p53,MGP,0.9,0.816,0.973,AZD6738
RPE1-hTER_p53,MGRN1,-0.98,0.163,1.22,AZD6738
RPE1-hTER_p53,MGST1,0.61,0.729,0.98,AZD6738
RPE1-hTER_p53,MGST2,-0.54,0.295,1.15,AZD6738
RPE1-hTER_p53,MGST3,0.39,0.652,0.992,AZD6738
RPE1-hTER_p53,MIA,0,0.5,1.04,AZD6738
RPE1-hTER_p53,MIA2,-0.47,0.319,1.12,AZD6738
RPE1-hTER_p53,MIA3,0.91,0.817,0.973,AZD6738
RPE1-hTER_p53,MIB1,0.51,0.695,0.986,AZD6738
RPE1-hTER_p53,MIB2,0.98,0.836,0.971,AZD6738
RPE1-hTER_p53,MICAL1,0.45,0.673,0.988,AZD6738
RPE1-hTER_p53,MICAL2,-0.01,0.496,1.04,AZD6738
RPE1-hTER_p53,MICAL3,0.68,0.751,0.979,AZD6738
RPE1-hTER_p53,MICALCL,-1.98,0.0239,1.11,AZD6738
RPE1-hTER_p53,MICALL1,-1,0.16,1.23,AZD6738
RPE1-hTER_p53,MICALL2,-0.43,0.334,1.12,AZD6738
RPE1-hTER_p53,MICU1,-0.9,0.184,1.21,AZD6738
RPE1-hTER_p53,MICU2,0.76,0.775,0.975,AZD6738
RPE1-hTER_p53,MICU3,-0.76,0.223,1.18,AZD6738
RPE1-hTER_p53,MID1,1.36,0.913,0.971,AZD6738
RPE1-hTER_p53,MID1IP1,-2.03,0.0213,1.08,AZD6738
RPE1-hTER_p53,MID2,-0.74,0.231,1.18,AZD6738
RPE1-hTER_p53,MIDN,0.2,0.58,1.01,AZD6738
RPE1-hTER_p53,MIEN1,1.35,0.912,0.971,AZD6738
RPE1-hTER_p53,MIER1,-0.19,0.425,1.08,AZD6738
RPE1-hTER_p53,MIER2,1.66,0.952,0.98,AZD6738
RPE1-hTER_p53,MIER3,-0.36,0.36,1.11,AZD6738
RPE1-hTER_p53,MIF,0.15,0.561,1.02,AZD6738
RPE1-hTER_p53,MIF4GD,-0.56,0.288,1.15,AZD6738
RPE1-hTER_p53,MIIP,-0.25,0.403,1.09,AZD6738
RPE1-hTER_p53,MINA,0.95,0.829,0.97,AZD6738
RPE1-hTER_p53,MINK1,-2.14,0.0162,0.983,AZD6738
RPE1-hTER_p53,MINPP1,-0.96,0.169,1.22,AZD6738
RPE1-hTER_p53,MIOS,0.42,0.663,0.989,AZD6738
RPE1-hTER_p53,MIOX,0.64,0.739,0.979,AZD6738
RPE1-hTER_p53,MIP,-0.62,0.266,1.16,AZD6738
RPE1-hTER_p53,MIPEP,-0.11,0.456,1.06,AZD6738
RPE1-hTER_p53,MIPOL1,-0.26,0.396,1.09,AZD6738
RPE1-hTER_p53,MIS18BP1,0.42,0.663,0.989,AZD6738
RPE1-hTER_p53,MITD1,-0.95,0.172,1.21,AZD6738
RPE1-hTER_p53,MITF,-1,0.158,1.24,AZD6738
RPE1-hTER_p53,MIXL1,1.66,0.952,0.98,AZD6738
RPE1-hTER_p53,MKI67,-1.33,0.0911,1.24,AZD6738
RPE1-hTER_p53,MKKS,0.59,0.722,0.981,AZD6738
RPE1-hTER_p53,MKL1,-0.19,0.425,1.08,AZD6738
RPE1-hTER_p53,MKL2,-0.01,0.495,1.04,AZD6738
RPE1-hTER_p53,MKLN1,-0.66,0.256,1.17,AZD6738
RPE1-hTER_p53,MKNK1,-1.15,0.125,1.27,AZD6738
RPE1-hTER_p53,MKNK2,1.29,0.901,0.969,AZD6738
RPE1-hTER_p53,MKRN2,-0.2,0.422,1.08,AZD6738
RPE1-hTER_p53,MKRN3,1.19,0.883,0.969,AZD6738
RPE1-hTER_p53,MKS1,-1.7,0.0449,1.23,AZD6738
RPE1-hTER_p53,MKX,-0.29,0.386,1.09,AZD6738
RPE1-hTER_p53,MLANA,-1.15,0.124,1.27,AZD6738
RPE1-hTER_p53,MLC1,1.91,0.972,0.989,AZD6738
RPE1-hTER_p53,MLEC,0.38,0.646,0.994,AZD6738
RPE1-hTER_p53,MLF1,1.27,0.897,0.968,AZD6738
RPE1-hTER_p53,MLF2,0.37,0.643,0.995,AZD6738
