Cell_line,GENE,normZ,p-value,FDR,Treatment
293A,RNF122,-0.79,0.216,1.03,AZD6738
293A,RNF123,-0.4,0.343,1.04,AZD6738
293A,RNF125,-0.49,0.31,1.04,AZD6738
293A,RNF126,-0.8,0.212,1.03,AZD6738
293A,RNF128,1.22,0.889,0.993,AZD6738
293A,RNF130,1.11,0.866,0.993,AZD6738
293A,RNF133,-1.85,0.0322,0.905,AZD6738
293A,RNF135,-0.17,0.433,1.03,AZD6738
293A,RNF138,-0.24,0.404,1.04,AZD6738
293A,RNF139,0.71,0.761,0.997,AZD6738
293A,RNF141,-0.79,0.215,1.03,AZD6738
293A,RNF144A,1.38,0.916,0.991,AZD6738
293A,RNF144B,-0.32,0.373,1.04,AZD6738
293A,RNF145,1.2,0.886,0.993,AZD6738
293A,RNF146,0.37,0.645,1.01,AZD6738
293A,RNF148,0,0.501,1.02,AZD6738
293A,RNF149,0.29,0.613,1.01,AZD6738
293A,RNF150,0.13,0.553,1.01,AZD6738
293A,RNF151,-0.99,0.16,1.02,AZD6738
293A,RNF152,-0.23,0.41,1.04,AZD6738
293A,RNF157,-0.68,0.247,1.04,AZD6738
293A,RNF165,0.68,0.752,0.998,AZD6738
293A,RNF166,0.01,0.502,1.02,AZD6738
293A,RNF167,-0.14,0.445,1.03,AZD6738
293A,RNF168,-1.21,0.113,1.01,AZD6738
293A,RNF169,0.71,0.761,0.997,AZD6738
293A,RNF17,0.24,0.596,1.01,AZD6738
293A,RNF170,0.54,0.704,1,AZD6738
293A,RNF175,0.58,0.719,1,AZD6738
293A,RNF180,0,0.499,1.02,AZD6738
293A,RNF182,-0.86,0.195,1.03,AZD6738
293A,RNF183,-0.73,0.234,1.03,AZD6738
293A,RNF185,0.81,0.792,0.993,AZD6738
293A,RNF186,0.17,0.569,1.01,AZD6738
293A,RNF187,-0.35,0.362,1.04,AZD6738
293A,RNF19A,1.07,0.858,0.993,AZD6738
293A,RNF19B,-1.26,0.104,1.01,AZD6738
293A,RNF2,0.87,0.808,0.992,AZD6738
293A,RNF20,0.2,0.579,1.01,AZD6738
293A,RNF207,-0.18,0.43,1.03,AZD6738
293A,RNF208,-0.44,0.329,1.04,AZD6738
293A,RNF212,1.32,0.906,0.993,AZD6738
293A,RNF213,-0.16,0.435,1.03,AZD6738
293A,RNF214,0.66,0.745,0.999,AZD6738
293A,RNF215,-0.62,0.268,1.04,AZD6738
293A,RNF216,0.44,0.671,1.01,AZD6738
293A,RNF217,0.03,0.513,1.02,AZD6738
293A,RNF219,1.17,0.88,0.993,AZD6738
293A,RNF220,0.08,0.533,1.01,AZD6738
293A,RNF222,-0.46,0.324,1.04,AZD6738
293A,RNF223,-0.73,0.234,1.03,AZD6738
293A,RNF24,0.22,0.588,1.01,AZD6738
293A,RNF25,-0.09,0.466,1.02,AZD6738
293A,RNF26,-2.18,0.0146,0.771,AZD6738
293A,RNF31,-0.24,0.406,1.04,AZD6738
293A,RNF32,0.92,0.821,0.994,AZD6738
293A,RNF34,0.42,0.664,1.01,AZD6738
293A,RNF38,1.11,0.866,0.993,AZD6738
293A,RNF39,0.22,0.587,1.01,AZD6738
293A,RNF4,0.22,0.589,1.01,AZD6738
293A,RNF40,0.06,0.524,1.02,AZD6738
293A,RNF41,0.58,0.719,1,AZD6738
293A,RNF43,1.44,0.925,0.991,AZD6738
293A,RNF44,-0.03,0.489,1.02,AZD6738
