Cell_line,GENE,normZ,p-value,FDR,Treatment
MCF10A,UBE2R2,-0.73,0.233,1.06,AZD6738
MCF10A,UBE2T,-1.36,0.0873,1.07,AZD6738
MCF10A,UBE2Z,1.4,0.919,0.993,AZD6738
MCF10A,UBE3A,-1.82,0.0344,0.949,AZD6738
MCF10A,UBE3B,-0.86,0.194,1.06,AZD6738
MCF10A,UBE3C,-2.58,0.00499,0.538,AZD6738
MCF10A,UBE3D,-0.55,0.292,1.05,AZD6738
MCF10A,UBE4A,-0.31,0.38,1.03,AZD6738
MCF10A,UBE4B,-0.92,0.178,1.07,AZD6738
MCF10A,UBIAD1,-0.48,0.316,1.04,AZD6738
MCF10A,UBL3,-1.69,0.0453,0.988,AZD6738
MCF10A,UBL4A,-0.26,0.398,1.02,AZD6738
MCF10A,UBL4B,-0.71,0.237,1.06,AZD6738
MCF10A,UBL7,0.02,0.507,1.01,AZD6738
MCF10A,UBN1,0.23,0.59,1,AZD6738
MCF10A,UBN2,-0.69,0.245,1.05,AZD6738
MCF10A,UBOX5,0.31,0.62,1,AZD6738
MCF10A,UBP1,-0.27,0.392,1.02,AZD6738
MCF10A,UBQLN1,-0.05,0.481,1.02,AZD6738
MCF10A,UBQLN2,-1.06,0.145,1.07,AZD6738
MCF10A,UBQLN3,0.79,0.784,0.995,AZD6738
MCF10A,UBQLNL,0.28,0.612,1,AZD6738
MCF10A,UBR1,0.49,0.687,0.993,AZD6738
MCF10A,UBR2,0.97,0.833,0.99,AZD6738
MCF10A,UBR3,0.32,0.624,1,AZD6738
MCF10A,UBR4,0.29,0.616,1,AZD6738
MCF10A,UBR5,-0.16,0.437,1.02,AZD6738
MCF10A,UBR7,-0.36,0.358,1.03,AZD6738
MCF10A,UBTD1,0.15,0.559,1.01,AZD6738
MCF10A,UBTD2,0.01,0.505,1.02,AZD6738
MCF10A,UBTF,-0.64,0.261,1.05,AZD6738
MCF10A,UBXN1,0.32,0.627,1,AZD6738
MCF10A,UBXN10,0.04,0.516,1.01,AZD6738
MCF10A,UBXN11,1.64,0.949,0.995,AZD6738
MCF10A,UBXN2B,-0.61,0.272,1.05,AZD6738
MCF10A,UBXN4,-0.47,0.32,1.04,AZD6738
MCF10A,UBXN6,1.55,0.94,0.994,AZD6738
MCF10A,UBXN7,1.84,0.967,0.996,AZD6738
MCF10A,UCHL1,2.26,0.988,0.999,AZD6738
MCF10A,UCHL3,-0.06,0.478,1.02,AZD6738
MCF10A,UCHL5,-1.28,0.0997,1.07,AZD6738
MCF10A,UCK1,-0.73,0.233,1.06,AZD6738
MCF10A,UCK2,0.12,0.548,1.01,AZD6738
