Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,CLEC10A,-0.53,0.3,1.03,VE821
HCT116,CLEC11A,2.44,0.993,0.999,VE821
HCT116,CLEC12A,-0.7,0.243,1.03,VE821
HCT116,CLEC12B,1.02,0.846,0.996,VE821
HCT116,CLEC14A,0.17,0.567,1.01,VE821
HCT116,CLEC16A,-0.24,0.406,1.02,VE821
HCT116,CLEC17A,0.39,0.653,1.01,VE821
HCT116,CLEC19A,-0.48,0.317,1.02,VE821
HCT116,CLEC1A,-0.41,0.34,1.02,VE821
HCT116,CLEC2A,-0.13,0.448,1.02,VE821
HCT116,CLEC2D,-0.19,0.425,1.02,VE821
HCT116,CLEC2L,0.45,0.675,1,VE821
HCT116,CLEC3A,-0.44,0.329,1.03,VE821
HCT116,CLEC3B,-0.45,0.325,1.03,VE821
HCT116,CLEC4A,-0.96,0.169,1,VE821
HCT116,CLEC4C,-0.27,0.392,1.02,VE821
HCT116,CLEC4D,0.5,0.69,1,VE821
HCT116,CLEC4E,-0.31,0.377,1.02,VE821
HCT116,CLEC4F,-0.21,0.415,1.02,VE821
HCT116,CLEC4G,-0.22,0.413,1.02,VE821
HCT116,CLEC4M,0.4,0.657,1.01,VE821
HCT116,CLEC5A,0.12,0.547,1.01,VE821
HCT116,CLEC7A,-1.1,0.135,0.999,VE821
HCT116,CLEC9A,1.82,0.966,0.997,VE821
HCT116,CLECL1,-0.4,0.346,1.02,VE821
HCT116,CLIC1,1.3,0.904,0.994,VE821
HCT116,CLIC2,1.1,0.865,0.994,VE821
HCT116,CLIC3,-0.54,0.295,1.03,VE821
HCT116,CLIC5,1.63,0.948,0.996,VE821
HCT116,CLIC6,-0.97,0.165,1.01,VE821
HCT116,CLINT1,-0.61,0.273,1.03,VE821
HCT116,CLIP1,1.23,0.891,0.995,VE821
HCT116,CLIP2,1.14,0.873,0.994,VE821
HCT116,CLIP3,0.28,0.611,1.01,VE821
HCT116,CLIP4,-0.26,0.396,1.02,VE821
HCT116,CLK1,-0.56,0.288,1.03,VE821
HCT116,CLK2,0.72,0.765,0.998,VE821
HCT116,CLK3,-0.54,0.295,1.03,VE821
HCT116,CLK4,-0.01,0.496,1.01,VE821
HCT116,CLLU1,-1.21,0.114,0.988,VE821
HCT116,CLLU1OS,-0.75,0.227,1.02,VE821
HCT116,CLMN,0.14,0.557,1.01,VE821
HCT116,CLMP,1.27,0.898,0.994,VE821
HCT116,CLN3,1.19,0.884,0.994,VE821
HCT116,CLN5,-2.4,0.0082,0.846,VE821
HCT116,CLN6,-1.38,0.0842,0.99,VE821
HCT116,CLN8,0.11,0.545,1.01,VE821
HCT116,CLNK,0,0.501,1.01,VE821
HCT116,CLOCK,0.75,0.772,0.999,VE821
HCT116,CLP1,0.63,0.736,1,VE821
HCT116,CLPB,0.7,0.759,0.999,VE821
HCT116,CLPP,0.83,0.797,0.999,VE821
HCT116,CLPS,0.47,0.68,1,VE821
HCT116,CLPSL1,0.51,0.696,1,VE821
HCT116,CLPSL2,1.08,0.86,0.994,VE821
HCT116,CLPTM1,-0.11,0.456,1.02,VE821
HCT116,CLPTM1L,0.21,0.584,1.01,VE821
HCT116,CLPX,-0.7,0.243,1.03,VE821
HCT116,CLRN1,-0.77,0.221,1.02,VE821
HCT116,CLRN2,0.83,0.798,0.999,VE821
HCT116,CLRN3,-0.06,0.477,1.01,VE821
HCT116,CLSPN,-0.06,0.475,1.01,VE821
HCT116,CLSTN1,0.12,0.546,1.01,VE821
HCT116,CLSTN2,1.26,0.897,0.994,VE821
HCT116,CLSTN3,-0.39,0.348,1.02,VE821
HCT116,CLTA,-0.57,0.284,1.03,VE821
HCT116,CLTB,0.28,0.611,1.01,VE821
HCT116,CLTC,0.65,0.742,1,VE821
HCT116,CLTCL1,-0.7,0.242,1.03,VE821
HCT116,CLU,0.43,0.667,1,VE821
HCT116,CLUAP1,-0.09,0.466,1.02,VE821
HCT116,CLUH,-0.76,0.224,1.02,VE821
HCT116,CLUL1,0.73,0.766,0.998,VE821
HCT116,CLVS1,-1.76,0.0392,0.951,VE821
HCT116,CLVS2,0.55,0.707,1,VE821
HCT116,CLYBL,0.01,0.503,1.01,VE821
HCT116,CMA1,-1.75,0.0399,0.957,VE821
HCT116,CMAS,-0.4,0.343,1.02,VE821
HCT116,CMBL,0.33,0.628,1.01,VE821
HCT116,CMIP,1.05,0.854,0.996,VE821
HCT116,CMKLR1,-1.46,0.0724,0.991,VE821
HCT116,CMPK2,-0.1,0.459,1.02,VE821
HCT116,CMSS1,0.38,0.647,1.01,VE821
HCT116,CMTM1,0.14,0.554,1.01,VE821
HCT116,CMTM2,-0.01,0.497,1.01,VE821
HCT116,CMTM3,-0.75,0.227,1.02,VE821
HCT116,CMTM4,-0.02,0.493,1.01,VE821
HCT116,CMTM5,-1.04,0.149,0.997,VE821
HCT116,CMTM6,1.32,0.907,0.993,VE821
HCT116,CMTM7,0.68,0.752,0.999,VE821
HCT116,CMTM8,1.47,0.929,0.995,VE821
HCT116,CMYA5,0.72,0.763,0.998,VE821
HCT116,CNBD1,1.42,0.923,0.995,VE821
