Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1_hTER_P53,TCTE3,1.93,0.973,0.988,VE821
RPE1_hTER_P53,TCTEX1D2,1.35,0.912,0.975,VE821
RPE1_hTER_P53,TCTN1,0.13,0.551,1.03,VE821
RPE1_hTER_P53,TCTN2,-0.3,0.383,1.11,VE821
RPE1_hTER_P53,TCTN3,0.22,0.587,1.02,VE821
RPE1_hTER_P53,TDO2,0.78,0.781,0.97,VE821
RPE1_hTER_P53,TDP1,-0.94,0.174,1.25,VE821
RPE1_hTER_P53,TDP2,0.55,0.709,0.982,VE821
RPE1_hTER_P53,TDRD1,-1.09,0.138,1.26,VE821
RPE1_hTER_P53,TDRD10,-0.51,0.306,1.17,VE821
RPE1_hTER_P53,TDRD12,1.09,0.861,0.969,VE821
RPE1_hTER_P53,TDRD15,-0.05,0.481,1.06,VE821
RPE1_hTER_P53,TDRD3,-0.01,0.495,1.06,VE821
RPE1_hTER_P53,TDRD5,0.34,0.632,0.999,VE821
RPE1_hTER_P53,TDRD6,-0.39,0.347,1.14,VE821
RPE1_hTER_P53,TDRD7,-0.78,0.219,1.23,VE821
RPE1_hTER_P53,TDRD9,-0.18,0.43,1.08,VE821
RPE1_hTER_P53,TDRKH,0.57,0.714,0.981,VE821
RPE1_hTER_P53,TEAD1,2.12,0.983,0.992,VE821
RPE1_hTER_P53,TEAD2,0.97,0.833,0.968,VE821
RPE1_hTER_P53,TEAD3,2.37,0.991,0.996,VE821
RPE1_hTER_P53,TEAD4,0.06,0.524,1.04,VE821
RPE1_hTER_P53,TEC,0.2,0.578,1.02,VE821
RPE1_hTER_P53,TECPR1,-0.23,0.41,1.09,VE821
RPE1_hTER_P53,TECPR2,0.55,0.709,0.982,VE821
RPE1_hTER_P53,TECR,-0.5,0.308,1.17,VE821
RPE1_hTER_P53,TECRL,0.05,0.52,1.04,VE821
RPE1_hTER_P53,TECTA,0.69,0.756,0.972,VE821
RPE1_hTER_P53,TECTB,-0.49,0.311,1.17,VE821
RPE1_hTER_P53,TEDDM1,0.61,0.728,0.977,VE821
RPE1_hTER_P53,TEF,0.08,0.531,1.03,VE821
RPE1_hTER_P53,TEFM,-2.03,0.021,0.847,VE821
RPE1_hTER_P53,TEK,-1.25,0.105,1.27,VE821
RPE1_hTER_P53,TEKT1,-0.79,0.213,1.24,VE821
RPE1_hTER_P53,TEKT2,-0.44,0.329,1.15,VE821
RPE1_hTER_P53,TEKT3,-1.03,0.152,1.27,VE821
RPE1_hTER_P53,TEKT4,-1.55,0.0609,1.19,VE821
RPE1_hTER_P53,TEKT5,1,0.842,0.968,VE821
RPE1_hTER_P53,TELO2,0.25,0.6,1.01,VE821
RPE1_hTER_P53,TEN1,-0.96,0.168,1.25,VE821
RPE1_hTER_P53,TENC1,0.11,0.545,1.03,VE821
RPE1_hTER_P53,TENM1,0.01,0.505,1.05,VE821
RPE1_hTER_P53,TENM2,0.79,0.784,0.97,VE821
RPE1_hTER_P53,TENM3,-0.51,0.306,1.17,VE821
RPE1_hTER_P53,TENM4,-0.47,0.32,1.16,VE821
RPE1_hTER_P53,TEP1,0.85,0.804,0.968,VE821
RPE1_hTER_P53,TEPP,-0.24,0.404,1.1,VE821
RPE1_hTER_P53,TERF1,0.28,0.609,1.01,VE821
RPE1_hTER_P53,TERF2,0.23,0.592,1.01,VE821
RPE1_hTER_P53,TERF2IP,-0.61,0.271,1.19,VE821
RPE1_hTER_P53,TERT,-0.52,0.3,1.17,VE821
RPE1_hTER_P53,TES,0.4,0.655,0.993,VE821
RPE1_hTER_P53,TESC,-0.51,0.303,1.17,VE821
RPE1_hTER_P53,TESK1,-0.38,0.351,1.14,VE821
RPE1_hTER_P53,TESK2,-0.62,0.268,1.19,VE821
RPE1_hTER_P53,TESPA1,0.77,0.779,0.97,VE821
RPE1_hTER_P53,TET1,-1.19,0.117,1.28,VE821
RPE1_hTER_P53,TET2,0.04,0.514,1.05,VE821
RPE1_hTER_P53,TET3,0.9,0.816,0.967,VE821
RPE1_hTER_P53,TEX10,0.82,0.794,0.969,VE821
RPE1_hTER_P53,TEX101,1.42,0.922,0.976,VE821
RPE1_hTER_P53,TEX11,0.52,0.7,0.984,VE821
RPE1_hTER_P53,TEX13A,0.85,0.803,0.968,VE821
RPE1_hTER_P53,TEX13B,-0.76,0.223,1.23,VE821
RPE1_hTER_P53,TEX14,0.31,0.62,1,VE821
RPE1_hTER_P53,TEX15,-1.45,0.0732,1.25,VE821
RPE1_hTER_P53,TEX19,0.02,0.507,1.05,VE821
RPE1_hTER_P53,TEX2,1.86,0.968,0.986,VE821
RPE1_hTER_P53,TEX22,-0.87,0.193,1.25,VE821
RPE1_hTER_P53,TEX26,0.76,0.777,0.97,VE821
RPE1_hTER_P53,TEX261,0.16,0.564,1.03,VE821
RPE1_hTER_P53,TEX264,1.7,0.955,0.983,VE821
RPE1_hTER_P53,TEX29,1.69,0.955,0.983,VE821
RPE1_hTER_P53,TEX30,0.17,0.567,1.03,VE821
RPE1_hTER_P53,TEX33,0,0.498,1.06,VE821
RPE1_hTER_P53,TEX35,0.33,0.629,1,VE821
RPE1_hTER_P53,TEX36,1.11,0.866,0.969,VE821
RPE1_hTER_P53,TEX37,1.12,0.868,0.97,VE821
RPE1_hTER_P53,TEX38,-0.5,0.309,1.17,VE821
RPE1_hTER_P53,TEX9,-0.33,0.372,1.12,VE821
RPE1_hTER_P53,TF,0.69,0.754,0.973,VE821
RPE1_hTER_P53,TFAM,0.47,0.68,0.988,VE821
RPE1_hTER_P53,TFAP2A,0.12,0.548,1.03,VE821
RPE1_hTER_P53,TFAP2B,1.81,0.965,0.985,VE821
RPE1_hTER_P53,TFAP2C,-0.7,0.242,1.21,VE821
RPE1_hTER_P53,TFAP2E,0.56,0.711,0.981,VE821
RPE1_hTER_P53,TFAP4,-0.32,0.373,1.12,VE821
RPE1_hTER_P53,TFB1M,0.09,0.537,1.03,VE821
RPE1_hTER_P53,TFB2M,0.83,0.797,0.969,VE821
RPE1_hTER_P53,TFCP2,1.42,0.922,0.976,VE821
RPE1_hTER_P53,TFCP2L1,0.54,0.707,0.981,VE821
RPE1_hTER_P53,TFDP1,0.71,0.76,0.972,VE821
RPE1_hTER_P53,TFDP2,1.71,0.956,0.984,VE821
RPE1_hTER_P53,TFDP3,0.35,0.636,0.999,VE821
RPE1_hTER_P53,TFE3,-2.02,0.0219,0.855,VE821
RPE1_hTER_P53,TFEB,-0.39,0.347,1.14,VE821
RPE1_hTER_P53,TFEC,-0.06,0.477,1.06,VE821
RPE1_hTER_P53,TFF1,0.43,0.667,0.99,VE821
RPE1_hTER_P53,TFF2,0.2,0.58,1.02,VE821
RPE1_hTER_P53,TFF3,1.4,0.92,0.976,VE821
RPE1_hTER_P53,TFG,1.39,0.918,0.976,VE821
RPE1_hTER_P53,TFIP11,0.32,0.625,1,VE821
RPE1_hTER_P53,TFPI,0.4,0.656,0.991,VE821
RPE1_hTER_P53,TFPI2,0.61,0.73,0.977,VE821
RPE1_hTER_P53,TFPT,2.7,0.997,0.999,VE821
RPE1_hTER_P53,TFR2,0.77,0.778,0.97,VE821
RPE1_hTER_P53,TFRC,0.38,0.647,0.995,VE821
RPE1_hTER_P53,TG,0.07,0.526,1.04,VE821
RPE1_hTER_P53,TGDS,-0.02,0.492,1.06,VE821
RPE1_hTER_P53,TGFA,1.15,0.875,0.97,VE821
RPE1_hTER_P53,TGFB1,0.27,0.606,1.01,VE821
RPE1_hTER_P53,TGFB1I1,1.49,0.931,0.978,VE821
RPE1_hTER_P53,TGFB2,0.07,0.53,1.04,VE821
RPE1_hTER_P53,TGFB3,-0.49,0.313,1.17,VE821
RPE1_hTER_P53,TGFBI,-1.38,0.0841,1.31,VE821
RPE1_hTER_P53,TGFBR1,-5.11,0.000000165,0.0000751,VE821
RPE1_hTER_P53,TGFBR2,-3.27,0.000533,0.0717,VE821
RPE1_hTER_P53,TGFBR3,-1.94,0.026,0.918,VE821
RPE1_hTER_P53,TGFBR3L,-1.74,0.0406,1.07,VE821
RPE1_hTER_P53,TGFBRAP1,-0.02,0.493,1.06,VE821
RPE1_hTER_P53,TGIF1,0.57,0.717,0.981,VE821
RPE1_hTER_P53,TGIF2,-0.42,0.339,1.15,VE821
RPE1_hTER_P53,TGM1,0.02,0.509,1.05,VE821
RPE1_hTER_P53,TGM2,0.29,0.614,1,VE821
RPE1_hTER_P53,TGM3,0.84,0.799,0.968,VE821
RPE1_hTER_P53,TGM4,0.33,0.63,1,VE821
RPE1_hTER_P53,TGM5,-1.29,0.0982,1.29,VE821
RPE1_hTER_P53,TGM6,0.68,0.753,0.974,VE821
RPE1_hTER_P53,TGM7,1.13,0.871,0.969,VE821
RPE1_hTER_P53,TGOLN2,-0.93,0.177,1.25,VE821
RPE1_hTER_P53,TGS1,0.14,0.555,1.03,VE821
RPE1_hTER_P53,TH,0.92,0.821,0.967,VE821
RPE1_hTER_P53,THADA,-0.37,0.357,1.13,VE821
RPE1_hTER_P53,THAP1,-0.42,0.338,1.15,VE821
RPE1_hTER_P53,THAP10,1.21,0.887,0.972,VE821
RPE1_hTER_P53,THAP11,-0.68,0.25,1.2,VE821
RPE1_hTER_P53,THAP2,0.58,0.719,0.98,VE821
RPE1_hTER_P53,THAP3,-0.2,0.423,1.09,VE821
RPE1_hTER_P53,THAP4,0.4,0.655,0.993,VE821
RPE1_hTER_P53,THAP6,0.88,0.809,0.968,VE821
RPE1_hTER_P53,THAP7,-0.66,0.254,1.2,VE821
RPE1_hTER_P53,THAP8,1.59,0.944,0.98,VE821
RPE1_hTER_P53,THAP9,-0.08,0.469,1.07,VE821
RPE1_hTER_P53,THBD,1,0.842,0.968,VE821
RPE1_hTER_P53,THBS1,-0.92,0.179,1.25,VE821
RPE1_hTER_P53,THBS2,-0.07,0.474,1.06,VE821
RPE1_hTER_P53,THBS3,-0.43,0.335,1.15,VE821
RPE1_hTER_P53,THBS4,-0.82,0.206,1.25,VE821
RPE1_hTER_P53,THEG,-0.42,0.339,1.15,VE821
RPE1_hTER_P53,THEGL,0.05,0.521,1.04,VE821
RPE1_hTER_P53,THEM5,1.13,0.871,0.969,VE821
RPE1_hTER_P53,THEM6,-0.22,0.411,1.09,VE821
RPE1_hTER_P53,THEMIS,0.31,0.623,1,VE821
RPE1_hTER_P53,THEMIS2,-1.14,0.128,1.27,VE821
RPE1_hTER_P53,THG1L,0.3,0.618,1,VE821
RPE1_hTER_P53,THNSL1,-0.93,0.176,1.25,VE821
RPE1_hTER_P53,THNSL2,0.47,0.679,0.988,VE821
RPE1_hTER_P53,THOC1,-0.3,0.38,1.11,VE821
RPE1_hTER_P53,THOC2,0.45,0.674,0.989,VE821
RPE1_hTER_P53,THOC5,-1.38,0.0841,1.31,VE821
RPE1_hTER_P53,THOC6,-2.25,0.0122,0.659,VE821
RPE1_hTER_P53,THOP1,-0.65,0.259,1.2,VE821
RPE1_hTER_P53,THPO,-1.35,0.0878,1.3,VE821
RPE1_hTER_P53,THRA,-0.18,0.43,1.08,VE821
RPE1_hTER_P53,THRAP3,-5.88,2.1E-09,0.0000015,VE821
RPE1_hTER_P53,THRB,-1.29,0.0988,1.29,VE821
RPE1_hTER_P53,THRSP,0.23,0.593,1.01,VE821
RPE1_hTER_P53,THSD1,0.91,0.82,0.967,VE821
RPE1_hTER_P53,THSD4,1.82,0.966,0.986,VE821
RPE1_hTER_P53,THSD7A,-1.15,0.125,1.28,VE821
RPE1_hTER_P53,THSD7B,0.24,0.594,1.01,VE821
RPE1_hTER_P53,THTPA,-0.31,0.379,1.11,VE821
RPE1_hTER_P53,THUMPD1,1.15,0.875,0.97,VE821
RPE1_hTER_P53,THUMPD2,0.34,0.635,0.999,VE821
RPE1_hTER_P53,THUMPD3,0.78,0.782,0.97,VE821
RPE1_hTER_P53,THY1,0.91,0.818,0.967,VE821
RPE1_hTER_P53,THYN1,0.66,0.744,0.975,VE821
RPE1_hTER_P53,TIA1,1.11,0.866,0.969,VE821
RPE1_hTER_P53,TIAL1,-4.89,0.000000514,0.000196,VE821
RPE1_hTER_P53,TIAM1,1.78,0.963,0.985,VE821
RPE1_hTER_P53,TIAM2,0.66,0.746,0.975,VE821
RPE1_hTER_P53,TICAM1,1.78,0.963,0.985,VE821
RPE1_hTER_P53,TICRR,0.34,0.634,0.999,VE821
RPE1_hTER_P53,TIE1,-1.19,0.117,1.28,VE821
